id,order_id,ship_date,ship_mode,postal_code,state,shipping_cost,delivery_status
NULL,100006,2014/09/13,Standard Class,10024,New York,9.45,1
NULL,100013,2017/11/11,Standard Class,90045,California,9.45,0
NULL,100041,2016/11/25,Standard Class,47201,Indiana,9.45,1
NULL,100048,2017/05/24,Standard Class,10550,New York,9.45,1
NULL,100153,2016/12/17,Standard Class,73071,Oklahoma,9.45,1
NULL,100160,2017/09/11,Standard Class,19134,Pennsylvania,9.45,1
NULL,100202,2017/01/05,Standard Class,92804,California,9.45,1
NULL,100209,2017/07/15,Standard Class,97206,Oregon,9.45,1
NULL,100216,2015/04/14,First Class,85204,Arizona,19.50,1
NULL,100223,2017/07/10,Standard Class,75220,Texas,9.45,1
NULL,100244,2016/09/24,Standard Class,94122,California,9.45,1
NULL,100279,2014/03/14,Standard Class,48073,Michigan,9.45,1
NULL,100314,2017/10/05,Standard Class,77506,Texas,9.45,1
NULL,100328,2014/02/03,Standard Class,10024,New York,9.45,1
NULL,100335,2017/09/13,Standard Class,60610,Illinois,9.45,1
NULL,100363,2014/04/15,Standard Class,85301,Arizona,9.45,1
NULL,100377,2015/09/01,Standard Class,60623,Illinois,9.45,1
NULL,100384,2017/07/01,Standard Class,91767,California,9.45,1
NULL,100405,2016/08/28,Second Class,90045,California,12.40,1
NULL,100419,2016/12/20,Second Class,60610,Illinois,12.40,1
NULL,100426,2017/06/08,Standard Class,35630,Alabama,9.45,1
NULL,100454,2015/11/25,Standard Class,10035,New York,9.45,1
NULL,100468,2016/12/01,Standard Class,90045,California,9.45,1
NULL,100482,2017/04/15,Standard Class,43130,Ohio,9.45,1
NULL,100524,2017/04/02,Second Class,10011,New York,12.40,1
NULL,100531,2015/09/29,First Class,60610,Illinois,19.50,1
NULL,100573,2015/10/01,Standard Class,90004,California,9.45,1
NULL,100601,2017/11/20,Standard Class,93727,California,9.45,0
NULL,100650,2017/07/03,Second Class,92804,California,12.40,1
NULL,100685,2015/12/21,Second Class,68104,Nebraska,12.40,1
NULL,100720,2016/07/21,Standard Class,19120,Pennsylvania,9.45,1
NULL,100748,2017/05/20,Standard Class,94110,California,9.45,1
NULL,100769,2015/05/16,Same Day,32216,Florida,24.50,1
NULL,100790,2016/07/02,Standard Class,10024,New York,9.45,1
NULL,100811,2017/11/24,First Class,19143,Pennsylvania,19.50,0
NULL,100839,2016/10/17,Standard Class,80013,Colorado,9.45,1
NULL,100853,2014/09/19,Standard Class,60623,Illinois,9.45,1
NULL,100888,2015/04/10,Standard Class,28540,North Carolina,9.45,1
NULL,100895,2014/06/06,Standard Class,30076,Georgia,9.45,1
NULL,100930,2017/04/12,Standard Class,33614,Florida,9.45,1
NULL,101007,2015/02/13,Second Class,75220,Texas,12.40,1
NULL,101042,2017/11/23,Standard Class,42420,Kentucky,9.45,0
NULL,101049,2017/06/25,Second Class,44105,Ohio,12.40,1
NULL,101077,2017/03/30,Second Class,75081,Texas,12.40,1
NULL,101091,2015/12/09,Second Class,19140,Pennsylvania,12.40,1
NULL,101182,2017/09/05,First Class,92307,California,19.50,1
NULL,101210,2017/08/28,Second Class,38301,Tennessee,12.40,1
NULL,101245,2017/12/03,Standard Class,94109,California,9.45,0
NULL,101308,2017/10/07,Standard Class,98105,Washington,9.45,1
NULL,101336,2016/11/18,Standard Class,10011,New York,9.45,1
NULL,101343,2016/07/22,Standard Class,90049,California,9.45,1
NULL,101378,2016/07/14,Same Day,35810,Alabama,24.50,1
NULL,101385,2016/10/01,Standard Class,94109,California,9.45,1
NULL,101399,2015/01/24,Standard Class,60068,Illinois,9.45,1
NULL,101434,2017/06/27,Standard Class,7109,New Jersey,9.45,1
NULL,101448,2016/03/01,Second Class,54601,Wisconsin,12.40,1
NULL,101476,2014/09/13,First Class,10801,New York,19.50,1
NULL,101483,2017/08/01,Second Class,28540,North Carolina,12.40,1
NULL,101497,2016/10/01,Second Class,90008,California,12.40,1
NULL,101511,2015/11/23,Second Class,43055,Ohio,12.40,1
NULL,101539,2017/03/18,Second Class,98105,Washington,12.40,1
NULL,101546,2016/12/24,Standard Class,7960,New Jersey,9.45,1
NULL,101581,2017/10/27,Standard Class,97756,Oregon,9.45,1
NULL,101602,2014/12/18,First Class,79907,Texas,19.50,1
NULL,101630,2016/02/23,Second Class,11561,New York,12.40,1
NULL,101707,2015/09/01,Standard Class,92105,California,9.45,1
NULL,101728,2017/08/23,Standard Class,60653,Illinois,9.45,1
NULL,101749,2017/10/08,Standard Class,91104,California,9.45,1
NULL,101798,2017/12/15,Standard Class,10009,New York,9.45,0
NULL,101910,2015/12/03,Standard Class,92530,California,9.45,1
NULL,101924,2015/09/09,Standard Class,97504,Oregon,9.45,1
NULL,101931,2014/10/31,First Class,90049,California,19.50,1
NULL,101938,2016/01/12,Standard Class,94601,California,9.45,1
NULL,101966,2016/07/16,Second Class,77036,Texas,12.40,1
NULL,101987,2016/06/30,Standard Class,47374,Indiana,9.45,1
NULL,102008,2014/10/04,Standard Class,10011,New York,9.45,1
NULL,102036,2015/09/27,Standard Class,98105,Washington,9.45,1
NULL,102071,2014/05/15,Standard Class,94110,California,9.45,1
NULL,102085,2014/10/09,Standard Class,98115,Washington,9.45,1
NULL,102099,2017/12/19,First Class,90008,California,19.50,0
NULL,102162,2016/09/16,Standard Class,23602,Virginia,9.45,1
NULL,102267,2017/12/04,Standard Class,78539,Texas,9.45,0
NULL,102274,2014/11/26,Standard Class,40475,Kentucky,9.45,1
NULL,102281,2015/10/14,First Class,10035,New York,19.50,1
NULL,102288,2017/06/23,Standard Class,77095,Texas,9.45,1
NULL,102337,2017/06/16,First Class,60653,Illinois,19.50,1
NULL,102407,2017/12/13,Second Class,90004,California,12.40,0
NULL,102414,2017/05/18,Second Class,85023,Arizona,12.40,1
NULL,102456,2016/03/01,First Class,10011,New York,19.50,1
NULL,102491,2015/08/28,Standard Class,41042,Kentucky,9.45,1
NULL,102519,2017/11/29,First Class,53209,Wisconsin,19.50,0
NULL,102554,2017/06/15,Standard Class,36830,Alabama,9.45,1
NULL,102582,2015/09/19,Standard Class,36608,Alabama,9.45,1
NULL,102638,2017/12/31,First Class,10035,New York,19.50,0
NULL,102673,2014/11/05,Standard Class,28205,North Carolina,9.45,1
NULL,102715,2014/04/13,Second Class,33180,Florida,12.40,1
NULL,102722,2015/04/19,First Class,71203,Louisiana,19.50,1
NULL,102750,2017/09/08,Second Class,90036,California,12.40,1
NULL,102771,2017/04/05,Standard Class,10035,New York,9.45,1
NULL,102792,2016/12/19,Standard Class,92503,California,9.45,1
NULL,102834,2017/03/13,Standard Class,94110,California,9.45,1
NULL,102869,2014/09/14,Second Class,19140,Pennsylvania,12.40,1
NULL,102890,2017/06/30,Same Day,10011,New York,24.50,1
NULL,102932,2016/09/23,Second Class,7050,New Jersey,12.40,1
NULL,102946,2017/07/05,Standard Class,89115,Nevada,9.45,1
NULL,102981,2016/09/09,Second Class,10035,New York,12.40,1
NULL,102988,2014/04/09,Second Class,22304,Virginia,12.40,1
NULL,103100,2014/12/23,First Class,46203,Indiana,19.50,1
NULL,103156,2017/11/24,First Class,19120,Pennsylvania,19.50,0
NULL,103163,2016/06/11,Standard Class,93309,California,9.45,1
NULL,103205,2015/12/10,Second Class,77036,Texas,12.40,1
NULL,103226,2017/09/28,Standard Class,87105,New Mexico,9.45,1
NULL,103247,2017/10/08,Second Class,10011,New York,12.40,1
NULL,103366,2014/01/17,First Class,30076,Georgia,19.50,1
NULL,103380,2017/11/25,Standard Class,91104,California,9.45,0
NULL,103401,2014/11/26,Standard Class,94110,California,9.45,1
NULL,103471,2015/12/28,Standard Class,80906,Colorado,9.45,1
NULL,103499,2017/11/24,Standard Class,38301,Tennessee,9.45,0
NULL,103590,2014/12/04,Standard Class,10550,New York,9.45,1
NULL,103646,2016/04/26,Standard Class,60623,Illinois,9.45,1
NULL,103702,2014/09/17,Standard Class,45014,Ohio,9.45,1
